tweet,subjectivity,ts,actual
" @TeflonScribbles  @BuzzFeed By your logic, since the show is depicting the sad reality of the poor, should the cast and staff of Squid Game donate their profit to the poor? To embody the essence of the show itself? It makes no sense. Squid Game is just a s",subjective,y,subjective
" @CryrusPain yeah, he literally donates to charities and other causes all the time. i was dumbfounded when ppl were mad he made a small minecraft squid game tournament.",subjective,y,subjective
"Y'all the elite are having Squid Game parties, and it's not that they dont see the irony. They know they partying while the world burns for many of us.  Callousness aint a bug of the system, its a feature.  They about to start hunting us openly for sport, force-feeding us cake.",subjective,y,subjective
"What if we are Squid game characters , Uganda version",objective,y,objective
 @LacopaEspy Are there any links to direct me to store page or something of those nature ;)  Stunning- like a tiny Squid Game mascot~,subjective,y,subjective
 @billsandbulls8  @DeviDranity  @Shannahxbee  @BuzzFeed People will anything to demonize her. So really you said nothing of value. Whining that she missed the point cause she had a squid game party is dumb cuz I guarantee if she posed as the players they woul,subjective,y,subjective
 @JazDodgerUteGal We have been watching squid game so that may have triggered it?,objective,y,objective
"Red Light, Green Light: Twitter Drags Chrissy Teigen Over ‘Squid Game' Party Theme  ➡'  https://t.co/rlBRULBwdz  📸 #ChrissyTeigen  https://t.co/Lik9RyfWy5",objective,y,objective
After Dark Cyan And Green Theme For Windows 11  Get it here:  https://t.co/Hp7kddEInu  #Ubuntu #FreeFire #Windows11 #Windows11Pro #LosAngeles #BTS #FIFA22 #design #Windows11themes #dogelon #DesignContest #loveback #BlackWidow #blackpink #SquidGame #LISA #opensea #OleOut #PAKvAUS,objective,y,objective
Me after winning squid game😂  https://t.co/9SnZcmSahe,objective,y,objective
Enter to win Lego Squid Game NFT Whitelist + Giveaway now  https://t.co/b5LOj4F0fQ,objective,y,objective
Man folks too damn sensitive. I've seen so many people throw squid games parties. Y'all just don't like Chrissy so it's a problem.,subjective,y,subjective
 @twistedlove___ Eveytime I get on ur azz bout that I told u got to stop thinking that way bestie,subjective,y,subjective
Squid Game premise is not entertaining IMO. I won't be watching poor people kill each other for the entertainment of rich people.,subjective,y,subjective
"Chrissy Teigen Hosted A Lavish ""Squid Game""–Themed Party, And The Internet Is NOT Pleased  https://t.co/ehZJW69S3s",objective,y,objective
 @Miss_Ash_W I dont even watch movies / Netflix since Money Heist... but the squid game memes broke me with FOMO lol,subjective,y,subjective
 @maki_itoh Squid games good series I like  u are beautiful,subjective,y,subjective
��😂😂😂😂 other ear just free to hear other ppl talk,objective,y,objective
" @TomanTwinDragon Pink soldiers, way back then, dawn and i remember my name.. from squid game",objective,y,objective
Chrissy Teigen is facing backlash for hosting a lavish squidgame themed party.  Chrissy is demonic. All her pedophilic and cannibalistic tweets indicate who she is.  Her affinity for the gory dytopian Squid Games shouldn't surprise anyone.,subjective,y,subjective
"And Grandpa is a risky type.   Squid game, Washington League.   The next task is to go under anesthesia, transferring powers to Kamala Harris.  https://t.co/JJaqN49uuE",subjective,y,subjective
"Squid game is a show about blah, yes, but that doesn't mean people won't treat it as it is- a show for entertainment. just bc some wealthy person is throwing a themed party or hosting a harmless recreation of the games, doesnt mean theyre erasing the meaning of the show.",subjective,y,subjective
Squid Game Season 2 Details  https://t.co/79lxBFIWDV,objective,y,objective
Couldn't give any less of a fuck. As long as they not hurting people these celebrities could buy out Disney world just to play squid game dress up everyday and I wouldn't care,subjective,y,subjective
The question raised by Squid Game  https://t.co/2hR5DwEtUy via  @jcapsj,objective,y,objective
 @MiggVisuals squid game,objective,y,objective
Also Rusty Lake did this way before Squid Game. 🙄🙄  https://t.co/jQlbsWrsPa,objective,y,objective
 @444molls i mean thats exactly what they are lol,subjective,y,subjective
 @___ThePrince Have fun and enjoy urself bro u better turn up and go crazy on ur today. I wish u many more b-days  https://t.co/B0VMkbu7AO,subjective,y,subjective
"Besides Coupang, Bunjang is my fave app out here. Just saw Lee Jung-jae from Squid Game flogging Bunjang. ㅋㅋㅋㅋ Yesterdays price is not todays price.",subjective,y,subjective
squid game  @fajer_dashtii 👏🏻🔥  https://t.co/zeeqO1tX4D,objective,y,objective
" @TheSillad  @BuzzFeed There is nothing wrong with her hosting a costly Squid Game party. Squid Game is just a show to entertain after all.  People criticize her do to be seen as “woke SJW”, God forbid to parody such a serious masterpiece filled w",subjective,y,subjective
 @TheRealPro7 😂😂😂 Mashaba is playing the political squid game.  https://t.co/KINwPH3i3P,objective,y,objective
" I don't care for Chrissy but how is this ANY different from all the Halloween costumes  and  TikTok Videos?? It's not. Except that a celebrity is doing it   and a canceled one at that. If people are going to have this energy, have it f",subjective,y,subjective
 @gasagasagirl  @AgnewRobin boom!,objective,y,objective
I find it funny when the host of American show felt scared for violence in Squid Game but won't be anywhere felt in your situations on us rn. It's pretty irony i mean. While I saw real life more than 3 men has shooting human +push Asian old man to death + massive shooting,subjective,y,subjective
" @chrissyteigen has done a lot of dumb stuff, but now we are nit-picking. She had a party and the theme was of a show she really likes. Full stop. Calm your tits. She wasn't having an actual fucking Squid games.",subjective,y,subjective
24 Hours With Squid Game's HoYeon Jung | Vogue  https://t.co/koFcuEPvfO via  @YouTube,objective,y,objective
I would have simply broken the game be simply EATING the squid,subjective,y,subjective
 @mike_4_life Yes broski I had a good dream last night sans Mariah Carey and squid game,subjective,y,subjective
"a fifth option i couldn't include is ""bitch im already out here doing squid game every day of my life and no majority has ever voted for it to end""",subjective,y,subjective
" @JennyENicholson Yeah, but people are not making fun of the concept of dressing up as Squid Game characters (many did that for Halloween and nobody had a problem with it).But those are the ultra rich people, the ones parodied by the show as the guys in go",subjective,y,subjective
chrissy teigen joking about mistreating her maids then having a squid game party is really pissing me off,subjective,y,subjective
" @crypdohnut So, the group think forces me to choose between two groups, smrtr or my family. Smrtr loses... which is ok right ? Their squid game, their rules... if we remember the show, people did die haha... I'll be around tho for more.",subjective,y,subjective
My child is incredibly disappointed I won't let her have a Squid Games themed 8th birthday despite never having watched the show,subjective,y,subjective
"Last adjustments for my mini series ""squids playing a game"". Minting tonight (CET). Triangle and square will follow. Three copies each!  #nft #nftart #NFTCommmunity #squidgamefanart  @rarible  https://t.co/xw3sfQ4O6a",objective,y,objective
Finally watched Squid Game... it is WORTH THE HYPE!!!! 🔥🔥🔥🔥,subjective,y,subjective
 @ThisIsNotIshan you dumb or something? he posted the video because people were mad and crying about mrbeast squid game and it was trending,subjective,y,subjective
I think Andrew Neil and Andrew Marr should play Squid Game to decide the ultimate right-wing news Andrew.,subjective,y,subjective
 @Doigby Imaginez Rekkles arrive et il dit juste squid game,objective,y,objective
 @DaRealDJ_Sekret This world can't understand the sober ppl period even if u lil high or drunk the world still don't understand u,subjective,y,subjective
wait is there a non dub of squid games or naw,objective,y,objective
 @444molls im definitely keeping the fake version (the one i ve been raising for 2years) or both if possible,subjective,y,subjective
this man wants me to recreate that squid game scene,objective,y,objective
"New #Joeycast ep 24  The boys are finally back! We have vacations, NFTs, Timothy Chalamet, Dune, live music, video games, and OUR FIRST LISTENER QUESTION! *air horn*! Plus we deep dive into Squid Game, and Dave has a mini ""Before and After"" quiz.   https://t.co/icYGqMv6Sc",objective,y,objective
 @seraskyee21 Squid game overrated,subjective,y,subjective
 @LanktheDank  @mariosonic500  @MisterDisco_  @SKIMASKSIMP Character from a show on Netflix called Squid Game,objective,y,objective
People who are like “He never used the money he won at the end!” in Squid Game have no morals.,subjective,y,subjective
 @kittykatfantasy she threw a squid game party,objective,y,objective
"since u were able to watch squid game, go try another korean series ""MY NAME"" #NetflixRecommendation",subjective,y,subjective
Cancel culture trying to come for Chrissy Teigen again with the Squid Game party is a stretch….its not a true story people. Let the woman breathe.  https://t.co/cWRWi3J2u9,subjective,y,subjective
 @creamofwool  @netflix Like “Squid Game”I was never sorry I to seeing an episode end but I looked forward to the next episode.,subjective,y,subjective
"Top 3 today: Ski dream, squid game and intro ⛷🦅🐐 bangerzz  @YoungAdz1  @DIRTBIKE_LB",subjective,y,subjective
Even if they were to win Squid Games dog woulda nyam dem supper.,subjective,y,subjective
 @Jonah_THEO I was decked out in my squid game outfit all weekend lol  https://t.co/Vc0gFxKvOg,subjective,y,subjective
"Did you miss the Squid Game pump??? Well, you need to make sure not to miss the BabyRedNotice pump!!! RedNotice is trending now on Netflix and will soon be viral on BSC! Check  https://t.co/WTfsMecAIm now to know how to get whitelisted! :}}}",objective,y,objective
 @plumnebulae  @drama_logue  @RoseTintedNG  @stutteringpeach Squid Game opened a lot of doors for people,subjective,y,subjective
Finally💪#mrbeast #epic #SquidGame,subjective,y,subjective
 @DN82_twt i kid you not an ipad kid came up to me in the MRT and asked me if I was 'that girl from squid game',subjective,y,subjective
NFT game powers new digital economy and the future of the metaverse Social-GameFi may be the first real-world use case for blockchain technology.  https://t.co/wTsZjZp4Lz,objective,y,objective
"for me, the way that musician's wife continues to just put her foot in her mouth and willfully misunderstand parasite and now squid game and i'm sure she's walking around her ESTATE pissed off the internet is mad at her instead of like...taking a beat and thinking about why",subjective,y,subjective
SQUID GAME IN NIGERIA(CRUISE VERSION)  https://t.co/kVNH5DA8Uf via  @YouTube,objective,y,objective
"Found myself watching #SquidGame again, and aligning  real life situations to it  😆 Have you ever imagined why people do the things they do?  https://t.co/cLTCrC91Fj",subjective,y,subjective
Imagine having voted for this eejit? Priorities dude!! No one cares abt the fuckin lotto.   ‘Shergar would have a better chance at winning Squid Game' – TD wants ‘investigation' into lotto winner drought  https://t.co/f20JS5KnbE,subjective,y,subjective
I never watched tiger king or squid games both look dumb asf lol,subjective,y,subjective
" @BuzzFeed Squid Game is just grown up Hunger Games, and who tf cares if rich people don't ""get"" a TV show and throw stupid parties. In college I threw a ""Pimps and Hoes"" party - are going to get pissed st me because ""prostitution is a real problem, Jim"" (",subjective,y,subjective
I asked for guidance through my dream and basically it was squid games w sex.  So what i'm getting from it it's gonna be hard either way just gotta get through it and win…,subjective,y,subjective
 @Crazzy_Jow Squid game,objective,y,objective
 @BuzzFeed We all live squid game,subjective,y,subjective
army squid game and the challenge is to read and recite yoongi's rap part in just one day in one try,subjective,y,subjective
 @MrBeast Finally💪#mrbeast #epic #SquidGame,subjective,y,subjective
There's more outrage over Chrissy Teigen hosting a Squid Game party than over her being on Jeffrey Epstein's flight logs,subjective,y,subjective
 @stoolpresidente Not my squid game,objective,y,objective
Squid Game (Arab Version) | Anwar Jibawi  https://t.co/yoeD6ae9dX via  @YouTube,objective,y,objective
Squid Game Pierre Gasly edition  #F1 #QatarGP #Skymotori  https://t.co/ooLCJUgGOB,objective,y,objective
would you do the squid game,objective,y,objective
"Damn, I just watched the sixth episode of Squid Game. That was some heartbreaking stuff  https://t.co/A9eBRYTPvx",subjective,y,subjective
 @kiikazuu He said he enjoyed Squid Game for the entertainment value and not for the critique of capitalism  https://t.co/se5r79rOaD,subjective,y,subjective
still haven't read art friend or seen squid game and fine with it,subjective,y,subjective
Squid Game has been explicitly stated only once 😲,subjective,y,subjective
 @MarcMethot3 best to ever play the game.,subjective,y,subjective
 @DaRealDJ_Sekret Np bro 🙏🏾🙏🏾. U know I am always here if u need talk,objective,y,objective
Netflix and literally everyone else: Squid Game  black people: Squid Games,subjective,y,subjective
" @WowDogpig Hello! I saw your fanarts, and its all really great! 😍 I really love it. Anyway, I already read your pinned also.   Since I also like Squid Game and I also like Frontman, let me follow you! 💞  (I cant speak Korean so I will use en",subjective,y,subjective
Is this Squid Game,objective,y,objective
" @the_moviebob And Sang-Woo graduated top of his class at SNU, and he still ended up having to play Squid Games.",objective,y,objective
squid game 🥺  https://t.co/bdAIYxBvM4,objective,y,objective
"Some woman will say ""men will fuck anything"" but as soon u ask a woman ""what would u do if u had a dick"" her be ""I will fuck every woman I see"" just a bunch of hypocrites",objective,y,objective
 @Mellowtonin_ LMAOO Travis in squid game new season,objective,y,objective
I been dreamin I'm in da squid games I ain't do too good dat last dream 😭,subjective,y,subjective
 @ToTheLifeboats  @mimzou55 The squid game is live,objective,y,objective
"Bruh, I knew I recognized this dude in Squid Game when he showed up. I am just now realizing he was the main character here",objective,y,objective
 @yudhology Squid Game,objective,y,objective
"Chrissy Teigen Is Facing Backlash For Hosting A Lavish Squid Game""-Themed Party""   https://t.co/4RzVypZUmD",subjective,y,subjective
 @Jbrett1217  @doctorbuckshot  @leahroemer Because squid game is about a human death competition of children's games organized by rich weirdos and the paradox is that Chrissy continues to demonstrate that she is a rich weirdo herself. Either she has no ,subjective,y,subjective
What if Gepard join Squid Game. #HonkaiStarRail #Gepard #DanHeng  https://t.co/TImggZhzvG,subjective,y,subjective
"The Berrics Hosted a Lavish 'Squid Game'-Themed Game of SKATE, and the Internet Does NOT Care.",subjective,y,subjective
 @sarah_connorsGF Teigen had a Squid game themed party lol. I think it's Chrissy.,subjective,y,subjective
No longer on top! #squidgame #netflix   https://t.co/XlagxYucpL,subjective,y,subjective
I DONT CARE ABOUT CHRISSY TIEGEN FACING BACKLASH FOR HAVING A SQUID GAME PARTY MY QUESTION IS WHY IS AN UGLY CELEBRITY THROWING A PARTY A NEWS WORTHY STORY IN THE MIDDLE OF A DEADLY PANDEMIC LOL  WHY DO WE HAVE NEWS IN THE MIDDLE OF A PANDEMIC  WHY ISN'T EVERYONE DEAD,subjective,y,subjective
"Y'all be saying this just to be different. Sex Education, Maid, You, Squid Game, Winx Fate Saga, Clickbait, Ginny  and  Georgia are all good",subjective,y,subjective
"Did you miss the Squid Game pump??? Well, you need to make sure not to miss the BabyRedNotice pump!!! RedNotice is trending now on Netflix and will soon be viral on BSC! Check  https://t.co/O4XYpJyncR now to know how to get whitelisted! :}}}",objective,y,objective
"As someone who didn't watch Squid Games and doesn't understand who Chrissy Teigen is or why the internet is certain that everyone needs to know what she is doing and how she feels at all times let me just again say, fuck Chrissy Teigen.",subjective,y,subjective
" @BuzzFeed Rich people are spending millions to take a flight around the planet and to resurrect the wooly mammoth. Of all the tone deaf things they'll waste money on, a Squid Game party doesn't even crack the top 500",subjective,y,subjective
Let's audition for one of those background actors in Squid Games S2. 😂,subjective,y,subjective
"still thinking about squid game and how they tell the winner ""oh yeah you earned that fortune with your hard work"" when it was mostly luck and sacrificing their humanity  it's very on the nose",subjective,y,subjective
" @BuzzFeed Omg we're still in the throes of a pandemic. If they want to have a Squid Game themed party, I'm not mad about it.   This makes a lot more sense than 50,000 people crowding into Astroworld to get stomped to death watching Travis fuckin",subjective,y,subjective
Badass Jung daddy 🔥🥵  #이정재 #성기훈 #오징어게임 #다만악에서구하소서 #leejungjae #leejungjaeedit #jungjae #squidgame #leejungjaesimp #deliverusfromevil #seonggihunedit #squidgamenetflix #squidgamememe #squidgameedits #dilf #deliverusfromevil #daddyjungjae #edits #fyp #fanedit  https://t.co/EUPWqd8ki5,subjective,y,subjective
Squid Game ass voice acting,subjective,y,subjective
WAIT IS THAT THE PAPI FROM SQUID GAME? im watching this shit tonight,subjective,y,subjective
 @kleesmile rich people throwing a squid game party,subjective,y,subjective
" @StuntmanStu Squid Game, Ted Lasso, Foundation, Invasion (intro music still sounds like a warped ""somewhere over the rainbow"" to me), and I've heard Cowboy Bebop is supposed to be good.",subjective,y,subjective
"Imagine having a girl over and y'all are watching Squid Games together. Y'all start making out and shit. And when it gets to undressing, you see target panties. Time to call an Uber.",subjective,y,subjective
 @mithisa_motho  @Qhawe___L  @hunlangos1  @mo4lo Squid Game vibes,subjective,y,subjective
"#SquidGame India version -- take your scooter on #Bangalore roads after #rains.   Honestly, no soul deserves this or the back pain.",subjective,y,subjective
"People be flipping out about Chrissy Tiegen hosting a themed party. Ffs your saying if I wantwd to host a Squid Game party for my 20th birthday tha y'all will come at me bc ""ThAtS nOt ThE pOiNt Of ThE gAmE""? Fuck you all. Leave her alone on this one.",subjective,y,subjective
"O168 @Truthurts13  @brightstrangely  @DrBrownieJr  @thbptttttttt  @KawasakiBackF  @ErhardJess1e This is an O170, but in Squid Games there is a good Samaritan, who rescues the dying old man near the end of the series.  Lost of Christian iconography throughout the series, not always painted in a positivelight. I want someone smarter than me to explain the meaning.",subjective,y,subjective
For me squid game is quite overhyped probably because of my familiarity with this kinda survival concept.,subjective,y,subjective
I haven't SEEN Squid Game... but I feel like I have seen Squid Game... y'know?,objective,y,objective
 @Carolyn_UK Will You Play Author Squid Games?  https://t.co/9Fh9SmzaJO,subjective,y,subjective
 @ConorMcMorrow  @FineGael So Shergar winning Squid Game is a cert?   Thanks for the tip!,subjective,y,subjective
"Chrissy Teigen Is Facing Backlash For Hosting A Lavish Squid Game""-Themed Party""   https://t.co/fgIoTirGIj",subjective,y,subjective
 @netflix's Hellbound is much better than Squid Game. 🔥🔥 #Hellbound,subjective,y,subjective
I really don't get what the issue with  @chrissyteigen and her #SquidGame party is.  She had a party.  Who cares?  You just upset she didnt invite you?,objective,y,objective
  @BuzzFeed I don't understand this trend of demonizing the wealthy  and  treating people that suck fiscally. Squid games characters by  and  large had vices  and  serious character flaws playing them into that situation. Degenerate gambler was the star.,subjective,y,subjective
" @OpenAcademics Hello! Stacy from Ontario Canada. I'm studying the  movement during the pandemic and I'm watching Squid Games and Dynasty, I am listening to Adele and Anne-Marie, and I'm reading (for fun) The Immortal Life of Henrietta Lacks. Balance.  mov",objective,y,objective
How to make Squid Game sugar candy  https://t.co/EPCn4HBzOK,objective,y,objective
I say let's do a real Squid Games with Chrissy Teigen and the rest of the goons.  https://t.co/XD7vIsGjGC,subjective,y,subjective
"I haven't seen Squid Game yet, but given what I know about it, I think I'm more excited to see Mr Beast's video over the actual show.",subjective,y,subjective
 @andrewmortonUK Will You Play Author Squid Games?  https://t.co/9Fh9Smhzle,subjective,y,subjective
 @MrBeast Can't wait. Anticipation keeps building ever since you mentioned making irl squid game 😩,subjective,y,subjective
 @VaseemKhanUK Will You Play Author Squid Games?  https://t.co/9Fh9SmzaJO,subjective,y,subjective
"Rich people trying to make ""Squid Game""-Themed stuff is the reason why I don't doubt the whole thing could potentially exist in real life.",subjective,y,subjective
 @nicky_read1  @BuzzFeed People missing the point of a show. Walter White made 80 million dollars off of m*th but his life was RUINED. Everyone who participated in Squid Game died except for ONE dude. Because they needed money. REAL issues being glorified. ,subjective,y,subjective
Xesha lithi Squid Game 😩,objective,y,objective
 @xElijahF Bro u better let him go too sleep,objective,y,objective
"Solving entertainment's globalization problem with AI  and  ML, The recent controversy surrounding the mistranslations found in the Netflix hit Squid Game  and  other films highlights technology's challenges  https://t.co/Acwkky7h6u #AI #MachineLearning #SquidGame #Netflix #Entertainment",subjective,y,subjective
"Here's what's going to happen: 1) People are going to talk shit about this party, because people LOVE to talk shit 2) No one, ESPECIALLY not the shit-talkers in (1), are going to actually help people living in poverty 3) Real Squid Game soon.  Easy to talk shit.  Real easy.",subjective,y,subjective
travis scott: squid game contestant number 009,objective,y,objective
"I don't usually talk about cancel culture, but this one got to me.  @chrissyteigen threw a Squid Game themed party. Thousand's of others did or dressed in character for Halloween. She just has loads of money and had a fancier party. Done. Betting card + splits soon. Happy Friday.  https://t.co/1sTgPLzyT5",subjective,y,subjective
People do realize Squid Games is a show and not real life right? LMAO how are you mad someone threw themed party based on something thats NOT REAL?,subjective,y,subjective
"╱ yo squid game verse, go interact with her or no christmas present this year but the Bogeyman instead.",subjective,y,subjective
we all know what it's ab it's not gonna stop anyone from dressing up as it for halloween or throwing a squid game themed party. y'all are reaching,subjective,y,subjective
" @the_great_azoo  @BuzzFeed Wth am I talking about? Glorifying something really bad just cuz it was super popular. People missing the point. Squid Game at its core, is about the REAL horrible financial state of many working class people in Korea. That'",subjective,y,subjective
 @xElijahF Awwwwwww lil man big chillin,objective,y,objective
"Chrissy Teigen hosting a Squid Game party, I'm not getting over that  https://t.co/VumtxTa4HX",subjective,y,subjective
 @tazalot1981 We are in Squid Game,subjective,y,subjective
 @TracieAMilli Yes. Some guys think just go down on a woman and just lick her clit up and down always cause a reaction nope not always the case,subjective,y,subjective
 @boggewitche Live look at Netflix execs watching people pretend that Squid Game views = activism  https://t.co/sICHBl5qRW,subjective,y,subjective
Game ON ␣ ∎ ◯ • △ • ☆ • ☂,subjective,y,subjective
"Nb4 u will squid game and they dont actually pay you,you just willfully participated in an illegal death game what you gonna do tell the police? You would likly be charged as an accomplice since u werent actually forced",subjective,y,subjective
I love how people are bashing Chrissy Teigan for missing the point of Squid Game when the show itself generated an estimated $900 million for Netflix on a $20 million budget.,subjective,y,subjective
 @MelanatedHeaux I think it's cause it's only for the month of October and squid games numbers must've dropped the second month of it being out but still 😭,objective,y,objective
squid game but without the game,objective,y,objective
 @notsoc00l_ Squid games dekli?,objective,y,objective
" @BurkePears I've heard Squid Games, but not watched it myself",objective,y,objective
"I have a theory about the treasure drama, what they had some sort of squid game reference? Let me explain— As you can see from the squid game series that the person in the mask wasn't the mastermind instead it was the old man in the game, so possibly one of the members got—  https://t.co/tauRDVe7VF",subjective,y,subjective
2 things making me ?? … first chrissy teigen throwing a squid game themed party is SUPER on brand for her.. she's doing a great job at being the most predictable and tone deaf putts on the planet… and B why is nobody talking about the zootopia/zootropolis name change,subjective,y,subjective
Netflix's South Korean thriller makes Squid Game feel like a triumph of understatement  https://t.co/udUyPgqXsa,subjective,y,subjective
"#SELECTIONPROJECT Episode 8  #IDOLYPRIDE Episode 1, 9, 10  #WonderEggPriority Episode 10, 11, 12  #LoveLive_Nijigasaki (solo #idol element)   #SquidGame   #BunnyGirlSenpai   NOOOOOOOOOOOOOOOOOO ...  This is literally same!!!   ALL IS SAME!!!!  #anime #anitwt",subjective,y,subjective
Having never seen Squid Game my only knowledge of the show is second hand (through this app) it kinda sounds like The Hunger Games,subjective,y,subjective
 @spef1x  @Zany12xx Squid game?,objective,y,objective
i feel like i'm already going to dislike alex meyers' review of squid game,subjective,y,subjective
broke: mr. beast making a squid game replica and using the money to literally build charities  woke: whatever the fuck this is,subjective,y,subjective
 @Heather99924565  @EliteDogeClub  @FungieDAO is launching 10k Unique  @Squid_Squad_NFT Collection on #BSC   Squid Squad NFT Holders will be able to participate in 100X NFT Lottery Games.  Presale on 22/11/21 for 0.1bnb Public Mint on 24/11/21 for 0.2bnb  #DY,objective,y,objective
Join the world fan token community and become an early adopter before its too late #cryptocurrecy #Crypto #Bitcoin #BitShiba #SquidGame #Ronaldo #messi,objective,y,objective
" @boggewitche You know how many working class, middle class, and upper class kids I saw dressed as the *executioners* from Squid Game for Halloween this year?",subjective,y,subjective
 @DaRealDJ_Sekret I am sorry to hear that bro 😞. I will keep u and ur family in my prayers 🙏🏾 may God comfort yall in this hard time,subjective,y,subjective
"Chrissy Teigen Is Facing Backlash For Hosting A Lavish Squid Game""-Themed Party""   https://t.co/oZDZWvnqWF",subjective,y,subjective
Squid game>Leg game  https://t.co/36YMxIpw7s,objective,y,objective
 @stefanpape29 Is this a UK Squid Games knock-off?,subjective,y,subjective
" @chrissyteigen Is Facing Backlash For Hosting A Lavish Squid Game""-Themed Party""   https://t.co/GZaVnilfFf",objective,y,objective
  @Thatoneguy64 Such a good watch.. Im feeling the kind of hype such as #SquidGame  and  #TigerKing   Big things to also come for $bebop exactly the same 💎   @Bebop_Inu   #bebopinu #eth #btc #cowboybebop #floki #shiba #saitama #mononoke #zinu #klee #h,subjective,y,subjective
 @RebelMonster5  @benimarutre  @PennyMayBay1  @ezind555  @mspammajamma  @BuzzFeed You're right. After watching Squid games they should have donated all of their money to charity and started slumming it with the rest of us. How dare they have fun with their frie,subjective,y,subjective
Buy $AAPL before your next iPhone Buy $MCD before your next McDonald's happy meal Buy $NFLX before you binge Squid Games Buy $SBUX before your next frappuccino Buy $TGT before you go shopping at Target Buy $YUM before your next Pizza Hut/Taco Bell/KFC visit,objective,y,objective
Time for other professional sports leagues AKA  @NBA  @PGATOUR to grow some balls and do the same thing what  @WTA head Steve Simon is doing.,subjective,y,subjective
Chrissy Teigen is facing backlash for missing the point with a wildly expensive 'Squid Game'-themed party  https://t.co/OV4yXHgikr,subjective,y,subjective
